Statistic Measure	Naive Bayes	Random Forest	SVM	KNN	My Method
Accuracy	0.9579320508780818	0.9364904786405923	0.9590730451731101	0.8664587296965636	0.9623344248694744
Precision	0.9579320508780818	0.9364904786405923	0.9590730451731101	0.8664587296965636	0.9623344248694744
Recall	0.9579320508780818	0.9364904786405923	0.9590730451731101	0.8664587296965636	0.9623344248694744
F-Measure	0.9579320508780818	0.9364904786405923	0.9590730451731101	0.8664587296965636	0.9623344248694744
