Components	Accuracy
2	0.5944075059396318
7	0.8921396767404419
12	0.852191514735738
17	0.8501536260671061
22	0.8494197973545206
27	0.8495829959675649
32	0.8473813104017676
37	0.8455879869866557
42	0.845669087723077
47	0.8450985240995491
52	0.8434678010133603
57	0.8431418691193656
62	0.8421637410573142
67	0.8420820420367718
72	0.8428161366534113
77	0.8415929780057463
82	0.8408589498651201
87	0.8401249882005077
92	0.8410218825741106
97	0.8393098593234605
102	0.8396359906454954
107	0.8386579955354708
112	0.8399623213955708
117	0.8387393621759461
122	0.839065626450008
127	0.8387396280799999
132	0.8386582614395248
137	0.8377611676378812
142	0.8383321301174897
147	0.8375171341924693
152	0.8375985008329445
157	0.837761433541935
162	0.8377613670659215
167	0.8371908034423938
172	0.8370273389252956
177	0.8365387402263641
182	0.8361311757878405
187	0.8358047120857381
192	0.8354783813356625
197	0.8360494102912848
202	0.8359679106987826
207	0.8358049115137784
212	0.8351525159176815
217	0.8358862781542535
222	0.8355604127362722
227	0.8360492108632442
232	0.8349078177121351
237	0.8355604792122859
242	0.8358047785617515
247	0.8353156480547124
252	0.8355604127362722
257	0.8354786472397165
262	0.8347449514791577
267	0.8350712822292332
272	0.8360495432433117
277	0.8353971476472145
282	0.8349897161607178
287	0.8341742549036031
292	0.8353972805992413
297	0.8349897161607178
302	0.8351527153457218
307	0.8344188866331361
312	0.8347450179551712
317	0.8346635183626692
322	0.8340926888350877
327	0.8344190195851631
332	0.8345819522941538
337	0.83417438785563
342	0.8342558209721188
347	0.8339298226021106
352	0.8345002532736112
357	0.8344188201571227
362	0.8346635848386826
367	0.8342558209721187
372	0.8339294237460297
377	0.8339294902220432
382	0.8338481900575816
387	0.8338480571055547
392	0.8341741219515763
397	0.8345003197496247
402	0.8335218593075062
407	0.8340108568625183
412	0.8334404261910174
417	0.8337665575130526
422	0.833929756126097
427	0.8337665575130526
432	0.833766491037039
437	0.8343371211365802
442	0.8340109898145454
447	0.8337666239890661
452	0.8339296231740703
457	0.8340111227665721
462	0.8336847920164967
467	0.8336849249685236
472	0.833766491037039
477	0.834092622359074
482	0.8338479241535277
487	0.8336849249685236
492	0.8336849249685235
497	0.8338479906295412
